"workerid","strong_adjective","not_paid_attention","condition_prosody","responsequestion","exchange","question","setup_phrase","condition_knowledge","weak_adjective","context","time","response","slide_number_in_experiment","language","enjoyment","gender","age","comments","asses","education","OS","screenH","screenW","Browser","hitid","hittypeid","title","description","keywords","reward","creationtime","assignments","numavailable","numpending","numcomplete","hitstatus","reviewstatus","annotation","assignmentduration","autoapprovaldelay","hitlifetime","viewhit","assignmentid","workerid.1","assignmentstatus","autoapprovaltime","assignmentaccepttime","assignmentsubmittime","assignmentapprovaltime","assignmentrejecttime","deadline","feedback","reject","Answer.condition","Answer.hit_information","Answer.time_in_minutes"
0,"""hilarious""","false","""RFR""","""Does Julie mean that her blog post was hilarious?""","""Mike: What is your new tweet like?""","""Does Julie read and write for a comedy blog?""","""Believe me,""","""know""","""funny""","""Julie is at a party with her friend Mike. A professional comedian, Julie tells Mike about her latest tweet.""",40865,0.8,3,"""english""","""2""","""Female""","""78""","""thank you""","""Yes""","""3""","""Windows""",768,1366,"""Chrome""","""3RDTX9JRTX0AI8OCLD78DGBQP4T97R""","""3MCFX9UVS0KBPU0GQ31JRM996HG68D""","""Language study""","""Listen to interactions and answer questions about them. You must be able to listen to short audio clips, perform this task on a desktop or laptop computer, and use Chrome, Safari, Firefox or Opera.""","""language research stanford fun cognitive science university""","""$1.20""","""Fri May 25 14:39:44 PDT 2018""","""7""","""0""","""0""","""0""","""Reviewable""","""NotReviewed""","""1 cond""","""2400""","""60000""","""Sun Jun 24 14:39:44 PDT 2018""","""https://requester.mturk.com/mturk/manageHIT?HITId=3RDTX9JRTX0AI8OCLD78DGBQP4T97R""","""3WJ1OXY92AFV9P1UDQIGBVEW7O2A85""",0,"""Submitted""","""Sat May 26 07:28:45 PDT 2018""","""Fri May 25 14:39:54 PDT 2018""","""Fri May 25 14:48:45 PDT 2018""","""""","""""","""""","""""","""""","""undefined""","""undefined""","""7.924716666666667"""
0,"""hysterical""","false","""neutral""","""Does Julie mean that his patient was hysterical?""","""Stan: What did his patient feel like?""","""Does Julie know exactly what state the patient was in?""","""I don&quotechart know for sure, but""","""ignorant""","""anxious""","""Julie is having lunch with Stan. She tells him about their friend Mike, who is a doctor and had to calm down a difficult patient today.""",25870,0.49,4,"""english""","""2""","""Female""","""78""","""thank you""","""Yes""","""3""","""Windows""",768,1366,"""Chrome""","""3RDTX9JRTX0AI8OCLD78DGBQP4T97R""","""3MCFX9UVS0KBPU0GQ31JRM996HG68D""","""Language study""","""Listen to interactions and answer questions about them. You must be able to listen to short audio clips, perform this task on a desktop or laptop computer, and use Chrome, Safari, Firefox or Opera.""","""language research stanford fun cognitive science university""","""$1.20""","""Fri May 25 14:39:44 PDT 2018""","""7""","""0""","""0""","""0""","""Reviewable""","""NotReviewed""","""1 cond""","""2400""","""60000""","""Sun Jun 24 14:39:44 PDT 2018""","""https://requester.mturk.com/mturk/manageHIT?HITId=3RDTX9JRTX0AI8OCLD78DGBQP4T97R""","""3WJ1OXY92AFV9P1UDQIGBVEW7O2A85""",0,"""Submitted""","""Sat May 26 07:28:45 PDT 2018""","""Fri May 25 14:39:54 PDT 2018""","""Fri May 25 14:48:45 PDT 2018""","""""","""""","""""","""""","""""","""undefined""","""undefined""","""7.924716666666667"""
0,"""decrepit""","false","""neutral""","""Does Julie mean that her house is decrepit?""","""Mike: What does your new house look like?""","""Did Julie recently move?""","""Believe me,""","""know""","""shabby""","""Julie is on the phone with her former roommate Mike. Julie recently moved to a new city, and she tells Mike about the house she just bought.""",21266,0.71,5,"""english""","""2""","""Female""","""78""","""thank you""","""Yes""","""3""","""Windows""",768,1366,"""Chrome""","""3RDTX9JRTX0AI8OCLD78DGBQP4T97R""","""3MCFX9UVS0KBPU0GQ31JRM996HG68D""","""Language study""","""Listen to interactions and answer questions about them. You must be able to listen to short audio clips, perform this task on a desktop or laptop computer, and use Chrome, Safari, Firefox or Opera.""","""language research stanford fun cognitive science university""","""$1.20""","""Fri May 25 14:39:44 PDT 2018""","""7""","""0""","""0""","""0""","""Reviewable""","""NotReviewed""","""1 cond""","""2400""","""60000""","""Sun Jun 24 14:39:44 PDT 2018""","""https://requester.mturk.com/mturk/manageHIT?HITId=3RDTX9JRTX0AI8OCLD78DGBQP4T97R""","""3WJ1OXY92AFV9P1UDQIGBVEW7O2A85""",0,"""Submitted""","""Sat May 26 07:28:45 PDT 2018""","""Fri May 25 14:39:54 PDT 2018""","""Fri May 25 14:48:45 PDT 2018""","""""","""""","""""","""""","""""","""undefined""","""undefined""","""7.924716666666667"""
0,"""brilliant""","false","""filler""","""Does Julie mean that his professor was intelligent?""","""Stan: What is his new professor like?""","""Is Julie taking computer programming classes?""","""I don&quotechart know for sure, but""","""ignorant""","""intelligent""","""Julie and Stan are relaxing at home. They discuss their mutual friend Mike, who told Julie yesterday about the programming class he just started attending at the local community college.""",21846,0.94,6,"""english""","""2""","""Female""","""78""","""thank you""","""Yes""","""3""","""Windows""",768,1366,"""Chrome""","""3RDTX9JRTX0AI8OCLD78DGBQP4T97R""","""3MCFX9UVS0KBPU0GQ31JRM996HG68D""","""Language study""","""Listen to interactions and answer questions about them. You must be able to listen to short audio clips, perform this task on a desktop or laptop computer, and use Chrome, Safari, Firefox or Opera.""","""language research stanford fun cognitive science university""","""$1.20""","""Fri May 25 14:39:44 PDT 2018""","""7""","""0""","""0""","""0""","""Reviewable""","""NotReviewed""","""1 cond""","""2400""","""60000""","""Sun Jun 24 14:39:44 PDT 2018""","""https://requester.mturk.com/mturk/manageHIT?HITId=3RDTX9JRTX0AI8OCLD78DGBQP4T97R""","""3WJ1OXY92AFV9P1UDQIGBVEW7O2A85""",0,"""Submitted""","""Sat May 26 07:28:45 PDT 2018""","""Fri May 25 14:39:54 PDT 2018""","""Fri May 25 14:48:45 PDT 2018""","""""","""""","""""","""""","""""","""undefined""","""undefined""","""7.924716666666667"""
0,"""starving""","false","""neutral""","""Does Julie mean that his dog was starving?""","""Stan: What did his dog feel like after not eating for so long?""","""Did Julie feed a dog?""","""I don&quotechart know for sure, but""","""ignorant""","""hungry""","""Julie and Stan are talking about her day at work over dinner. That afternoon, Julie and her coworker Mike discussed how Mike had to rush home on their lunch break because he had forgotten to feed his dog.""",19544,0.45,7,"""english""","""2""","""Female""","""78""","""thank you""","""Yes""","""3""","""Windows""",768,1366,"""Chrome""","""3RDTX9JRTX0AI8OCLD78DGBQP4T97R""","""3MCFX9UVS0KBPU0GQ31JRM996HG68D""","""Language study""","""Listen to interactions and answer questions about them. You must be able to listen to short audio clips, perform this task on a desktop or laptop computer, and use Chrome, Safari, Firefox or Opera.""","""language research stanford fun cognitive science university""","""$1.20""","""Fri May 25 14:39:44 PDT 2018""","""7""","""0""","""0""","""0""","""Reviewable""","""NotReviewed""","""1 cond""","""2400""","""60000""","""Sun Jun 24 14:39:44 PDT 2018""","""https://requester.mturk.com/mturk/manageHIT?HITId=3RDTX9JRTX0AI8OCLD78DGBQP4T97R""","""3WJ1OXY92AFV9P1UDQIGBVEW7O2A85""",0,"""Submitted""","""Sat May 26 07:28:45 PDT 2018""","""Fri May 25 14:39:54 PDT 2018""","""Fri May 25 14:48:45 PDT 2018""","""""","""""","""""","""""","""""","""undefined""","""undefined""","""7.924716666666667"""
0,"""life-threatening""","false","""neutral""","""Does Julie mean that her illness was life-threatening?""","""Mike: What was the degree of your illness?""","""Did Julie recieve a diagnosis from the doctors?""","""Believe me,""","""know""","""serious""","""Julie is hanging out with Mike. It&quotechars the first time the two have seen each other since Julie went on vacation, during which time she fell ill and was admitted to the hospital.""",15535,0.52,8,"""english""","""2""","""Female""","""78""","""thank you""","""Yes""","""3""","""Windows""",768,1366,"""Chrome""","""3RDTX9JRTX0AI8OCLD78DGBQP4T97R""","""3MCFX9UVS0KBPU0GQ31JRM996HG68D""","""Language study""","""Listen to interactions and answer questions about them. You must be able to listen to short audio clips, perform this task on a desktop or laptop computer, and use Chrome, Safari, Firefox or Opera.""","""language research stanford fun cognitive science university""","""$1.20""","""Fri May 25 14:39:44 PDT 2018""","""7""","""0""","""0""","""0""","""Reviewable""","""NotReviewed""","""1 cond""","""2400""","""60000""","""Sun Jun 24 14:39:44 PDT 2018""","""https://requester.mturk.com/mturk/manageHIT?HITId=3RDTX9JRTX0AI8OCLD78DGBQP4T97R""","""3WJ1OXY92AFV9P1UDQIGBVEW7O2A85""",0,"""Submitted""","""Sat May 26 07:28:45 PDT 2018""","""Fri May 25 14:39:54 PDT 2018""","""Fri May 25 14:48:45 PDT 2018""","""""","""""","""""","""""","""""","""undefined""","""undefined""","""7.924716666666667"""
0,"""beautiful""","false","""RFR""","""Does Julie mean that her sister is beautiful?""","""Mike: What does your sister look like?""","""Does Julie know exactly what Donna looks like?""","""Believe me,""","""know""","""attractive""","""Julie is having a drink with Mike. She tells him that her sister Donna is in town to visit.""",11082,0.67,9,"""english""","""2""","""Female""","""78""","""thank you""","""Yes""","""3""","""Windows""",768,1366,"""Chrome""","""3RDTX9JRTX0AI8OCLD78DGBQP4T97R""","""3MCFX9UVS0KBPU0GQ31JRM996HG68D""","""Language study""","""Listen to interactions and answer questions about them. You must be able to listen to short audio clips, perform this task on a desktop or laptop computer, and use Chrome, Safari, Firefox or Opera.""","""language research stanford fun cognitive science university""","""$1.20""","""Fri May 25 14:39:44 PDT 2018""","""7""","""0""","""0""","""0""","""Reviewable""","""NotReviewed""","""1 cond""","""2400""","""60000""","""Sun Jun 24 14:39:44 PDT 2018""","""https://requester.mturk.com/mturk/manageHIT?HITId=3RDTX9JRTX0AI8OCLD78DGBQP4T97R""","""3WJ1OXY92AFV9P1UDQIGBVEW7O2A85""",0,"""Submitted""","""Sat May 26 07:28:45 PDT 2018""","""Fri May 25 14:39:54 PDT 2018""","""Fri May 25 14:48:45 PDT 2018""","""""","""""","""""","""""","""""","""undefined""","""undefined""","""7.924716666666667"""
0,"""hideous""","false","""neutral""","""Does Julie mean that his bridesmaid dress was hideous?""","""Stan: What did her bridesmaid dress look like?""","""Did Julie choose her bridesmaid dress?""","""I don&quotechart know for sure, but""","""ignorant""","""ugly""","""Julie is getting lunch with her boyfriend Stan. Julie had a brief conversation this morning with her friend Sophie, who recently came back from a wedding in which she was a bridesmaid for a friend with notoriously poor taste in dresses.""",27526,0.75,10,"""english""","""2""","""Female""","""78""","""thank you""","""Yes""","""3""","""Windows""",768,1366,"""Chrome""","""3RDTX9JRTX0AI8OCLD78DGBQP4T97R""","""3MCFX9UVS0KBPU0GQ31JRM996HG68D""","""Language study""","""Listen to interactions and answer questions about them. You must be able to listen to short audio clips, perform this task on a desktop or laptop computer, and use Chrome, Safari, Firefox or Opera.""","""language research stanford fun cognitive science university""","""$1.20""","""Fri May 25 14:39:44 PDT 2018""","""7""","""0""","""0""","""0""","""Reviewable""","""NotReviewed""","""1 cond""","""2400""","""60000""","""Sun Jun 24 14:39:44 PDT 2018""","""https://requester.mturk.com/mturk/manageHIT?HITId=3RDTX9JRTX0AI8OCLD78DGBQP4T97R""","""3WJ1OXY92AFV9P1UDQIGBVEW7O2A85""",0,"""Submitted""","""Sat May 26 07:28:45 PDT 2018""","""Fri May 25 14:39:54 PDT 2018""","""Fri May 25 14:48:45 PDT 2018""","""""","""""","""""","""""","""""","""undefined""","""undefined""","""7.924716666666667"""
0,"""filthy""","false","""RFR""","""Does Julie mean that his carpet was filthy?""","""Stan: What did his carpet look like?""","""Did Julie notice that her house was not clean?""","""I don&quotechart know for sure, but""","""ignorant""","""dirty""","""Julie is having coffee with Stan. She tells him about their friend Mike, whose AirBnB guests had a huge party in his recently re-carpeted apartment.""",19787,0.57,11,"""english""","""2""","""Female""","""78""","""thank you""","""Yes""","""3""","""Windows""",768,1366,"""Chrome""","""3RDTX9JRTX0AI8OCLD78DGBQP4T97R""","""3MCFX9UVS0KBPU0GQ31JRM996HG68D""","""Language study""","""Listen to interactions and answer questions about them. You must be able to listen to short audio clips, perform this task on a desktop or laptop computer, and use Chrome, Safari, Firefox or Opera.""","""language research stanford fun cognitive science university""","""$1.20""","""Fri May 25 14:39:44 PDT 2018""","""7""","""0""","""0""","""0""","""Reviewable""","""NotReviewed""","""1 cond""","""2400""","""60000""","""Sun Jun 24 14:39:44 PDT 2018""","""https://requester.mturk.com/mturk/manageHIT?HITId=3RDTX9JRTX0AI8OCLD78DGBQP4T97R""","""3WJ1OXY92AFV9P1UDQIGBVEW7O2A85""",0,"""Submitted""","""Sat May 26 07:28:45 PDT 2018""","""Fri May 25 14:39:54 PDT 2018""","""Fri May 25 14:48:45 PDT 2018""","""""","""""","""""","""""","""""","""undefined""","""undefined""","""7.924716666666667"""
0,"""famous""","false","""filler""","""Does Julie mean that her boss is prominent?""","""Mike: What&quotechars your new boss like?""","""Does Julie work at a law firm?""","""Believe me,""","""know""","""prominent""","""Julie is hanging out with her boyfriend Mike. She tells him about her anxious first day of work at a prestigious law firm.""",16227,0.95,12,"""english""","""2""","""Female""","""78""","""thank you""","""Yes""","""3""","""Windows""",768,1366,"""Chrome""","""3RDTX9JRTX0AI8OCLD78DGBQP4T97R""","""3MCFX9UVS0KBPU0GQ31JRM996HG68D""","""Language study""","""Listen to interactions and answer questions about them. You must be able to listen to short audio clips, perform this task on a desktop or laptop computer, and use Chrome, Safari, Firefox or Opera.""","""language research stanford fun cognitive science university""","""$1.20""","""Fri May 25 14:39:44 PDT 2018""","""7""","""0""","""0""","""0""","""Reviewable""","""NotReviewed""","""1 cond""","""2400""","""60000""","""Sun Jun 24 14:39:44 PDT 2018""","""https://requester.mturk.com/mturk/manageHIT?HITId=3RDTX9JRTX0AI8OCLD78DGBQP4T97R""","""3WJ1OXY92AFV9P1UDQIGBVEW7O2A85""",0,"""Submitted""","""Sat May 26 07:28:45 PDT 2018""","""Fri May 25 14:39:54 PDT 2018""","""Fri May 25 14:48:45 PDT 2018""","""""","""""","""""","""""","""""","""undefined""","""undefined""","""7.924716666666667"""
